,PC1,PC2,PC3,PC4
321,608234822.3286434,-35263787.9614681,-65521484.64495063,22362440.87998375
322,611432429.0784694,-27599586.06950696,-62254898.27342429,22732169.626919214
323,589970084.5570736,-79041728.38289575,-84180234.18860802,20250549.35055953
324,603889844.9337059,-45678071.69808472,-69960193.04574612,21860045.44071327
325,623191725.6028218,585750.5654550303,-50241927.08261847,24091858.390719876
326,654751933.8716309,76231014.93001705,-18000893.622504912,27741061.42573479
327,742967200.2481378,287670276.9654342,72117375.89945638,37941102.409429505
328,786698555.9890202,392488025.24718815,116792116.05607836,42997615.17815734
329,638246831.7793763,36670667.27646249,-34862048.15882923,25832630.779926624
330,634737581.1249748,28259499.92281011,-38447001.299941026,25426867.67399402
331,660890617.3404902,90944553.25351983,-11729784.844138408,28450857.196485035
332,620369895.2650547,-6177769.499608894,-53124630.69353078,23765579.434081633
333,685770022.0364101,150576895.64575145,13686324.974807354,31327580.89717878
334,662403743.6934322,94571298.74297804,-10184016.92780976,28625815.01781772
335,676200249.4068775,127639531.78858173,3910110.6695498885,30221059.57682978
336,669132646.6470772,110699507.9891451,-3309956.293275346,29403855.925267354
337,678689392.3609884,133605648.20965077,6452950.0762786,30508870.98622736
338,711961136.9283571,213353218.0682484,40442441.55035863,34355973.33172982
339,761670844.8690087,332500213.7606701,91224500.50752164,40103743.29388193
340,880911213.9034164,618302169.2392116,213037154.43839145,53891114.81153736
341,859167287.5905133,566185116.0102346,190824162.3745399,51376936.15915474
342,837246996.8815037,513645342.77718943,168431001.33500928,48842365.07197186
343,764265205.2185209,338718521.09325874,93874827.08723913,40403720.644501835
344,715347132.9194742,221468961.78273982,43901481.14590324,34747484.90675743
345,639120637.1963418,38765052.75121542,-33969392.77939851,25933666.025330354
346,614630035.8281977,-19935384.177499764,-58988311.90196314,23101898.374091636
347,628303286.8784566,12837425.22889618,-45020097.85010577,24682891.40196204
348,608015368.9038476,-35789786.14830377,-65745672.17725157,22337066.202822134
349,754523076.4746128,315368044.50483966,83922538.55575037,39277270.35377775
350,727486214.1377106,250564587.5173738,56302429.846834004,36151086.92505136
351,641389324.6553221,44202769.1671978,-31651764.592267293,26195986.891222414
352,684879181.4219935,148441679.26156157,12776266.910159346,31224575.928201213
353,673939578.511354,122221029.91823983,1600671.9813116218,29959665.63979808
354,761648799.3194928,332447373.7601627,91201979.3855604,40101194.23953713
355,679382825.1002072,135267706.4074735,7161341.730642405,30589050.33218715
356,594848163.4219487,-67349677.36120181,-79196924.11140157,20814585.558926214
357,599376519.7060176,-56495860.89308136,-74570880.92339544,21338184.495748945
358,636833912.4695703,33284103.607547745,-36305447.3390474,25669259.569533836
359,572822655.3175377,-120141641.50576656,-101697572.32392082,18267848.530520823
360,606898060.3717006,-38467813.446807414,-66887083.585671574,22207875.493711192
361,632221382.2691789,22228534.410212427,-41017480.265445344,25135927.879736308
362,575274721.6656492,-114264392.35828015,-99192609.34957895,18551372.89396526
363,598745215.3335983,-58009006.362193115,-75215803.96133395,21265188.84843797
364,651946136.6607724,69505923.95623682,-20867218.235635012,27416636.326830547
365,617238425.1637578,-13683451.390039286,-56323653.69918454,23403497.85022236
366,607478259.152067,-37077160.706147514,-66294368.60318535,22274961.96957322
367,641177887.7940754,43695985.52595943,-31867762.625613794,26171539.142697547
368,599339443.1000184,-56584728.16666412,-74608757.35578234,21333897.4497958
369,699794999.8084353,184192743.242086,28013853.29065228,32949242.92857568
370,744654686.8561902,291714938.8226126,73841265.4166535,38136220.9336654
371,727438114.7569237,250449300.24355146,56253292.85344638,36145525.35199879
372,666677574.0876348,104815053.38705972,-5817990.329725063,29119983.963583913
373,796411624.690259,415768849.10772496,126714717.65398832,44120705.35209744
374,645312430.398183,53605887.43954976,-27644028.570813544,26649602.699587956
375,644541361.8026018,327437549.92122823,59032746.11035127,12909528.528205942
376,579986982.476202,172710019.34083748,-6914217.424621413,5445318.059284113
377,507386979.6479678,-1301709.6070114071,-81080366.78754331,-2949181.3814788023
378,586639728.0769839,188655690.4034291,-117957.0295843164,6214553.142613622
379,549618235.9515305,99920516.82194854,-37938086.61154628,1933879.8253052926
380,593086047.1686889,204106586.91580334,6467423.768920576,6959919.807933446
381,795138518.8080397,688397200.6687285,212878624.9668877,30322582.26118705
382,635090835.5545264,304786002.4304464,49378350.60114896,11816795.27457112
383,644436144.4071987,327185359.0097097,58925258.93736166,12897362.58698732
384,545258227.5001065,89470205.81225777,-42392150.3227688,1429746.3944320406
385,511995501.56662965,9744252.317504149,-76372428.6105926,-2416313.156108742
386,570392158.0858591,149712610.02854416,-16716023.913924031,4335900.086263957
387,576332431.6091962,163950588.347424,-10647605.233131766,5022754.367628254
388,506151426.804786,-4263151.453693049,-82342573.30466343,-3092044.291172393
389,558825259.0845118,121988422.48893896,-28532447.131275013,2998457.6150209326
390,599150577.425627,218642390.69210422,12662779.682564834,7661141.486590025
391,669137180.5661311,386390177.76147056,84159152.40589356,15753462.120706858
392,748750674.3508154,577212232.3256892,165490089.61410308,24958908.443262633
393,550201440.9431759,101318375.01723175,-37342300.5669866,2001313.8995314979
394,575959661.408321,163057111.9751951,-11028416.93173603,4979652.175926398
395,533333589.354386,60888569.17349024,-54574029.92828655,50939.72305200665
